rho_nominal,rho_realized_mean,warm_mean,cold_uniform_mean,cold_random_mean,matched_mean,A_warm_minus_uniform,A_warm_minus_random,B_structure_premium_matched_minus_warm,C_matched_minus_uniform,A_uniform_faster_signs,B_positive_structure_signs
1.0,1.0,24.0,142.66666666666666,264.0,24.0,-118.66666666666666,-240.0,0.0,-118.66666666666666,3,0
0.7,0.8181646670676406,24.0,232.33333333333334,,24.0,-208.33333333333334,,0.0,-208.33333333333334,2,0
0.5,0.6323526783600676,24.0,195.0,,24.0,-171.0,,0.0,-171.0,3,0
0.3,0.38827075603033495,24.0,169.33333333333334,,24.0,-145.33333333333334,,0.0,-145.33333333333334,3,0
0.0,-0.0493340513972518,24.0,196.33333333333334,,24.0,-172.33333333333334,,0.0,-172.33333333333334,2,0
